fpr,tpr
0.0,0.0
0.0034129692832764505,0.0
0.0034129692832764505,0.047619047619047616
0.027303754266211604,0.047619047619047616
0.027303754266211604,0.14285714285714285
0.034129692832764506,0.14285714285714285
0.034129692832764506,0.19047619047619047
0.040955631399317405,0.19047619047619047
0.040955631399317405,0.23809523809523808
0.04436860068259386,0.23809523809523808
0.04436860068259386,0.2857142857142857
0.04778156996587031,0.2857142857142857
0.04778156996587031,0.3333333333333333
0.07508532423208192,0.3333333333333333
0.07508532423208192,0.38095238095238093
0.11262798634812286,0.38095238095238093
0.11262798634812286,0.42857142857142855
0.11945392491467577,0.42857142857142855
0.11945392491467577,0.47619047619047616
0.15358361774744028,0.47619047619047616
0.15358361774744028,0.5238095238095238
0.15699658703071673,0.5238095238095238
0.15699658703071673,0.5714285714285714
0.17747440273037543,0.5714285714285714
0.17747440273037543,0.6190476190476191
0.19112627986348124,0.6190476190476191
0.19112627986348124,0.6666666666666666
0.2354948805460751,0.6666666666666666
0.2354948805460751,0.7142857142857143
0.2901023890784983,0.7142857142857143
0.2901023890784983,0.8571428571428571
0.3037542662116041,0.8571428571428571
0.3037542662116041,0.9047619047619048
0.5290102389078498,0.9047619047619048
0.5290102389078498,0.9523809523809523
0.8395904436860068,0.9523809523809523
0.8395904436860068,1.0
1.0,1.0
