,AUC_PR,Recall,Precision,F1,ROC_AUC
Stage C (Baseline),0.0930000643376439,0.6666666666666666,0.106060606060606,0.1830065359477124,0.6319681456200227
Stage D (Advanced),0.3023163343687299,0.238095238095238,0.4166666666666667,0.303030303030303,0.7007963594994313
Stage E (Tuned),0.21498125435248505,0.0,0.0,0.0,0.764505119453925
