feature,count,stability
sensor_065,5,1.0
sensor_430,5,1.0
sensor_206,5,1.0
sensor_342,5,1.0
sensor_104,5,1.0
sensor_292,5,1.0
sensor_154,5,1.0
sensor_060,5,1.0
sensor_426,5,1.0
sensor_288,5,1.0
sensor_171,4,0.8
sensor_585,4,0.8
sensor_367,4,0.8
sensor_172,4,0.8
sensor_064,4,0.8
sensor_213,4,0.8
sensor_249,4,0.8
sensor_575,4,0.8
sensor_477,4,0.8
sensor_097,4,0.8
sensor_148,4,0.8
sensor_353,4,0.8
sensor_349,4,0.8
sensor_406,4,0.8
sensor_041,4,0.8
sensor_524,4,0.8
sensor_078,4,0.8
sensor_574,4,0.8
sensor_072,3,0.6
sensor_434,3,0.6
sensor_052,3,0.6
sensor_198,3,0.6
sensor_211,3,0.6
sensor_068,3,0.6
sensor_407,3,0.6
sensor_042,3,0.6
sensor_286,3,0.6
sensor_332,3,0.6
sensor_011,3,0.6
sensor_436,2,0.4
sensor_290,2,0.4
sensor_578,2,0.4
sensor_511,2,0.4
sensor_568,2,0.4
sensor_576,2,0.4
sensor_201,2,0.4
sensor_024,2,0.4
sensor_567,2,0.4
sensor_079,2,0.4
sensor_573,2,0.4
sensor_552,2,0.4
sensor_354,2,0.4
sensor_584,2,0.4
sensor_015,2,0.4
sensor_345,1,0.2
sensor_554,1,0.2
sensor_362,1,0.2
sensor_147,1,0.2
sensor_076,1,0.2
sensor_473,1,0.2
sensor_577,1,0.2
sensor_126,1,0.2
sensor_387,1,0.2
sensor_101,1,0.2
sensor_435,1,0.2
sensor_204,1,0.2
sensor_438,1,0.2
sensor_205,1,0.2
sensor_300,1,0.2
