feature,count,stability
sensor_130,5,1.0
sensor_060,5,1.0
sensor_103,5,1.0
sensor_407,4,0.8
sensor_229,4,0.8
sensor_541,4,0.8
sensor_172,4,0.8
sensor_015,4,0.8
sensor_064,3,0.6
sensor_486,3,0.6
sensor_443,3,0.6
sensor_413,3,0.6
sensor_456,3,0.6
sensor_429,3,0.6
sensor_065,2,0.4
sensor_501,2,0.4
sensor_280,2,0.4
sensor_492,2,0.4
sensor_367,2,0.4
sensor_357,2,0.4
sensor_291,2,0.4
sensor_338,1,0.2
sensor_561,1,0.2
sensor_175,1,0.2
sensor_183,1,0.2
sensor_145,1,0.2
sensor_368,1,0.2
sensor_140,1,0.2
sensor_205,1,0.2
sensor_206,1,0.2
sensor_588,1,0.2
sensor_342,1,0.2
sensor_491,1,0.2
sensor_577,1,0.2
sensor_389,1,0.2
sensor_304,1,0.2
sensor_369,1,0.2
sensor_418,1,0.2
sensor_426,1,0.2
sensor_378,1,0.2
sensor_556,1,0.2
sensor_301,1,0.2
sensor_226,1,0.2
sensor_240,1,0.2
sensor_154,1,0.2
sensor_288,1,0.2
sensor_566,1,0.2
sensor_202,1,0.2
sensor_414,1,0.2
sensor_317,1,0.2
sensor_128,1,0.2
sensor_449,1,0.2
sensor_570,1,0.2
sensor_216,1,0.2
